,workload,l3_stall_1,l3_stall_2,l3_stall_3,demand_l2_mlp_1,demand_l2_mlp_2,demand_l2_mlp_3,l3_miss_1,l3_miss_2,l3_miss_3,offcore_load_latency_1,offcore_load_latency_2,offcore_load_latency_3,(l3_miss/mlp)_1,(l3_miss/mlp)_2,(l3_miss/mlp)_3,(lat*l3_miss/mlp)_1,(lat*l3_miss/mlp)_2,(lat*l3_miss/mlp)_3
0,500.perlbench_r,2215856293,5325613127,7204213858,1.181922821,1.166069473,1.234923249,20304781,21691100,17531359,48.92589962,52.00941001,59.41179915,17179447.46,18601893.38,14196314.64,840519921.9,967473499.8,843428594.2
1,502.gcc_r,6377261160,14022188286,20864231714,1.498975442,1.612675682,1.658170386,67361276,69641962,72222906,68.88140976,104.4046813,132.1184149,44938211.86,43184108.73,43555780.88,3095407385,4508623110,5754520729
2,503.bwaves_r,8307300291,15656107858,28046828454,2.377834341,2.496339089,2.5515789,108804942,119084438,134507246,208.7462045,341.245362,534.4216459,45757999.25,47703630.7,52715299.54,9551808668,16278642728,28172197146
3,505.mcf_r,132403839926,276737395506,418883197357,3.238833765,3.589322872,3.63789822,2765095057,3188252570,3004550926,80.5125085,122.3068012,163.8985658,853731700.2,888260177.1,825902965,68736080768,108640260929,135364311423
4,507.cactuBSSN_r,117473722855,207087623893,314639549569,3.231094872,3.286803387,3.262263683,2225892930,2099467209,2152372845,108.7064192,162.2270225,220.0628535,688897422.8,638756555.2,659778930.9,74887572027,103623574039,145192834247
5,508.namd_r,1592465077,3613869854,5219642657,1.404846761,1.406567971,1.394080843,16829835,17849978,16899325,72.38484217,109.0940538,146.1345073,11979836.85,12690448.22,12122198.72,867158599.9,1384452441,1771471536
6,510.parest_r,11518238697,25742176476,35643480525,1.715029561,1.689538928,1.690711392,123530504,131467542,133965963,50.26668661,51.48172594,57.67586489,72028206.87,77812674.13,79236446.66,3620619302,4005930764,4570030592
7,511.povray_r,17404453,25678979,32155795,1.322766655,1.33362952,1.333535229,117090,139168,97049,72.29847604,71.22806969,71.80125452,88519.01393,104352.8191,72775.73019,6399789.808,7432849.871,5225388.727
8,519.lbm_r,4458870706,7650926469,11473235903,1.26054418,1.161160282,1.183826557,15787691,15321333,14168139,136.4142853,170.9167166,213.2083697,12524504.29,13194847.64,11968086.8,1708521301,2255220034,2551696276
9,520.omnetpp_r,395078201651,860645939698,1341205484860,1.434782557,1.500693112,1.537940427,4555638282,4512129197,4529629228,103.0432461,166.4325567,228.7869213,3175141947,3006696814,2945256622,327176932950,500412237760,673836195072
10,521.wrf_r,20780839401,36784899496,57957900755,3.102020957,3.107357503,3.156345527,376281996,380713840,403456339,105.7654652,143.9622642,198.0839423,121302209.5,122520128.3,127823882.3,12829584617,17638275079,25319858524
11,523.xalancbmk_r,24666871853,56721537412,85342691550,1.599075146,1.611655579,1.618997565,272974831,297815020,295147495,54.99444951,73.10371378,89.21645505,170707944.3,184788253.7,182302618.2,9387989423,13508707608,16264393346
12,525.x264_r,2003497028,3899885289,5636595564,1.813002029,1.877814834,1.939229705,22740810,22698623,22958775,116.7320903,185.8109498,243.508698,12543179.57,12087785.54,11839120.94,1464191570,2246042912,2882928925
13,526.blender_r,15011769073,31633937733,51168871063,1.506323721,1.655347872,1.770300725,228513637,224918090,273978281,63.2600255,88.58537382,116.9147885,151702873.6,135873609.3,154763694.8,9596727650,12036414475,18094164635
14,527.cam4_r,11962187186,23803907637,36214660136,2.887805656,2.756697184,2.973943781,190556224,213609833,207379261,65.67377092,72.71454577,98.95530053,65986512.5,77487594.3,69732071.71,4333583105,5634475223,6900358113
15,531.deepsjeng_r,50367309161,99334205705,141500397978,1.295238418,1.315639784,1.313768104,435212964,436524401,435257889,136.9119256,220.2519251,292.3421944,336009925.4,331796291.4,331304959.9,46003765899,73078771916,96854418995
16,538.imagick_r,530335573,940436812,1286826271,2.253119208,2.43449016,2.438866719,2225003,1968025,1766688,53.24575475,60.12235266,67.17713399,987521.2069,808393.0805,724388.9083,52581311.99,48602493.88,48662370.75
17,541.leela_r,659920300,1242464678,2047049192,2.383904753,2.50693686,2.271173102,5284968,6171240,6151202,52.27292372,51.71895657,61.4666898,2216937.566,2461665.508,2708380.966,115885808.3,127314771.5,166475212.7
18,544.nab_r,2065476837,4338354637,6378970010,1.147127888,1.138666811,1.13892689,14201159,14518440,13844156,95.53737237,160.7082941,215.5647341,12379752.2,12750384.8,12155438.7,1182728996,2049092590,2620283911
19,548.exchange2_r,1629347,2446371,2894633,1.295951318,1.419960851,1.266454775,14121,18581,9984,84.30742487,64.12913509,81.26002066,10896.24263,13085.57203,7883.424026,918634.1572,839166.4166,640607.1992
20,549.fotonik3d_r,270312606853,532980292168,854108486092,3.349605149,3.535231188,3.504281747,6281604563,6832781828,6909856002,177.9596989,289.6794685,423.0375389,1875326877,1932768033,1971832319,333732606357,559883216359,834159091192
21,554.roms_r,88355074290,176978243911,277198220671,2.00223955,2.037494092,1.999101138,1051197225,1095974026,1147374365,122.3798516,198.088125,273.8340323,525010718.6,537902922.2,573945131.3,64250733851,106552181285,157165709615
22,557.xz_r,76378981236,148633097315,209251313817,1.232670016,1.225325993,1.242269086,338014119,336378433,339969393,92.0337947,136.9084689,177.0991506,274212980.3,274521584.3,273668078,25236861138,37584329788,48466384163
23,600.perlbench_s,2105061133,4607500275,7592312584,1.181022461,1.210091745,1.188870432,17312254,15919532,18071052,47.49001271,53.71589452,60.98651338,14658700.04,13155640.53,15200186.25,696141851.5,706666999,927006362.1
24,602.gcc_s,51370773147,107703726082,161492523609,1.352607125,1.37104365,1.372405622,394444353,419983448,449536149,80.42154858,119.6032431,158.3514017,291617828.8,306323907.3,327553415.6,23452357383,36637332769,51868542503
25,603.bwaves_s,274164912251,651422569919,1874052943509,2.070801979,2.054705603,1.883304528,1712997264,2113268818,2916639077,331.9611065,594.4135602,1103.6914,827214422.8,1028501998,1548681604,274603015059,611355534150,1709266568329
26,605.mcf_s,330114459054,618814688969,953603017808,3.444585215,3.664536896,3.73812946,6203865275,6551078650,6655422076,73.3682622,95.77011355,124.1308588,1801048570,1787696191,1780415084,132139803706,171207867166,221004453420
27,607.cactuBSSN_s,1734886721925,3208654829372,5443814421441,4.148337468,4.636744031,4.808362555,47713130365,47289449285,47504347556,209.7686759,371.5820342,599.0465703,11501747564,10198848365,9879526973,2412706356995,3789708821678,5918296749522
28,619.lbm_s,287923329785,502338362499,1078923700497,1.290333817,1.273232015,1.291789,548656975,609642403,686550248,404.1971525,579.1524653,1048.456466,425205452.9,478814855.1,531472437.2,171866833281,277306803755,557225713074
29,620.omnetpp_s,398627507044,856892976711,1319894847153,1.435535303,1.506708838,1.533913227,4543379498,4493739764,4526850990,102.3990663,167.0416631,225.0051851,3164937489,2982487161,2951178013,324086643849,498199615540,664030355234
30,621.wrf_s,146003852577,272009026145,572926197499,3.163452146,3.102824558,3.023368737,1617478243,1674829931,1710532369,201.6609635,248.8097223,360.538709,511301631.4,539775904,565770343.5,103109579604,134301492812,203982109217
31,623.xalancbmk_s,24932933795,56073090021,84470014206,1.595418012,1.604409775,1.623020384,277554968,287487155,293313824,54.98892526,72.04265707,88.84298276,173970060.4,179185616.8,180720973.6,9566426650,12909007939,16055790342
32,625.x264_s,2106637109,3714086933,5686042546,1.854402276,1.840489692,1.858103676,24239383,22092194,22438855,114.7351703,170.1323154,231.8136389,13071264.69,12003432.62,12076212.59,1499733781,2042171784,2799430784
33,627.cam4_s,188180049849,369645367680,692029037833,2.933914165,3.194679486,3.409582359,3263913989,3275257123,3261614823,187.5396744,329.7924491,593.1338905,1112477668,1025222448,956602445.7,208633699661,338110621962,567393330248
